iter	MultiClass
0	3.170203974
1	3.098535972
2	3.041387404
3	2.988083335
4	2.945142787
5	2.900723578
6	2.862844155
7	2.827417201
8	2.794260471
9	2.75981995
10	2.729945089
11	2.701522633
12	2.67622828
13	2.656739189
14	2.637692848
15	2.614990312
16	2.591750928
17	2.571901624
18	2.553796015
19	2.533895868
20	2.517195656
21	2.499882707
22	2.483558474
23	2.466887361
24	2.453733509
25	2.440832351
26	2.427325804
27	2.41606093
28	2.404414983
29	2.393171036
30	2.382492725
31	2.369279246
32	2.355492065
33	2.343705475
34	2.335468594
35	2.326102598
36	2.315695669
37	2.305336835
38	2.296859905
39	2.290660896
40	2.281564076
41	2.272614288
42	2.262314162
43	2.253662884
44	2.246275619
45	2.237890658
46	2.231251063
47	2.224288278
48	2.216066671
49	2.207741832
50	2.200503801
51	2.191337333
52	2.184944332
53	2.179340401
54	2.17250959
55	2.166141708
56	2.158064503
57	2.154008924
58	2.148946451
59	2.143087429
60	2.136650135
61	2.130449711
62	2.124546636
63	2.119582937
64	2.112514197
65	2.107417595
66	2.101875255
67	2.097305208
68	2.089185876
69	2.083236281
70	2.077338837
71	2.071856756
72	2.065366501
73	2.05872818
74	2.053224184
75	2.047638325
76	2.042532445
77	2.039341303
78	2.033592786
79	2.029562493
80	2.024509952
81	2.021093983
82	2.016939645
83	2.0103156
84	2.006483828
85	2.001615415
86	1.996886939
87	1.991984899
88	1.987350309
89	1.982022327
90	1.978487887
91	1.972493828
92	1.968418228
93	1.964911095
94	1.961297619
95	1.956604842
96	1.953648284
97	1.948966386
98	1.946195832
99	1.940921225
100	1.935902047
101	1.932107585
102	1.928386331
103	1.924745694
104	1.920874418
105	1.917873213
106	1.913465797
107	1.909394611
108	1.904693643
109	1.900626317
110	1.897392996
111	1.894139094
112	1.890425496
113	1.886357358
114	1.882198409
115	1.879025022
116	1.8749389
117	1.871414554
118	1.869474428
119	1.866010426
120	1.862664465
121	1.858324851
122	1.85584374
123	1.852951504
124	1.850135223
125	1.846709495
126	1.844188797
127	1.840929587
128	1.837054381
129	1.833656814
130	1.830430971
131	1.827032774
132	1.823262799
133	1.819774275
134	1.81690181
135	1.812930099
136	1.810579148
137	1.807848657
138	1.805025766
139	1.802671504
140	1.79942336
141	1.795968492
142	1.793462097
143	1.790479616
144	1.78773584
145	1.784700504
146	1.781822834
147	1.77827407
148	1.775203574
149	1.772209333
150	1.770053562
151	1.768406118
152	1.764957377
153	1.76272086
154	1.760345718
155	1.75755678
156	1.754433155
157	1.751709814
158	1.748805413
159	1.746648233
160	1.743513289
161	1.740430341
162	1.738465984
163	1.735723397
164	1.733761733
165	1.731678191
166	1.728436788
167	1.725835876
168	1.722916306
169	1.72065903
170	1.718095887
171	1.715716223
172	1.713165546
173	1.710057749
174	1.707259058
175	1.704114722
176	1.701410456
177	1.699357568
178	1.696626512
179	1.694678655
180	1.6929868
181	1.690657118
182	1.687981427
183	1.685711753
184	1.68295429
185	1.680792307
186	1.678008354
187	1.675649889
188	1.674004032
189	1.671270986
190	1.668867941
191	1.666706567
192	1.664594957
193	1.662369864
194	1.660377929
195	1.658027809
196	1.655770288
197	1.654329569
198	1.652459734
199	1.651004065
200	1.649146984
201	1.646709453
202	1.644383438
203	1.641948841
204	1.640481093
205	1.638699362
206	1.636645468
207	1.63501599
208	1.632793947
209	1.630810463
210	1.628526443
211	1.626450981
212	1.624536823
213	1.62307437
214	1.621344391
215	1.619526546
216	1.617243761
217	1.615270556
218	1.613110761
219	1.611088783
220	1.609369545
221	1.60649387
222	1.604933706
223	1.603346655
224	1.601448775
225	1.60000091
226	1.598264806
227	1.596042722
228	1.594113253
229	1.592670249
230	1.59122956
231	1.589435207
232	1.588086965
233	1.58638828
234	1.584840835
235	1.582749625
236	1.580930081
237	1.579195226
238	1.577479265
239	1.575597649
240	1.573409305
241	1.571233115
242	1.569680388
243	1.567939799
244	1.565974903
245	1.564404634
246	1.56333428
247	1.561794185
248	1.559759993
249	1.557976224
250	1.556189764
251	1.554376441
252	1.552369967
253	1.55071657
254	1.548829796
255	1.547200457
256	1.545502014
257	1.544260798
258	1.542876492
259	1.5413394
260	1.539693663
261	1.53805903
262	1.537070196
263	1.535922046
264	1.534530866
265	1.53285107
266	1.531000132
267	1.529505194
268	1.527683062
269	1.525803255
270	1.524455401
271	1.523080243
272	1.521416952
273	1.519940299
274	1.518096595
275	1.516783239
276	1.515335503
277	1.514064314
278	1.512231408
279	1.510339245
280	1.508898357
281	1.507420631
282	1.505989475
283	1.504075665
284	1.502367489
285	1.500854682
286	1.499726072
287	1.497966101
288	1.496733645
289	1.495136501
290	1.49338644
291	1.492221889
292	1.491130045
293	1.4897943
294	1.488503394
295	1.487194787
296	1.485466003
297	1.484389753
298	1.483051722
299	1.48184444
300	1.480458132
301	1.479200715
302	1.477771122
303	1.476584741
304	1.47487597
305	1.473403189
306	1.47223988
307	1.470899837
308	1.469389023
309	1.468168746
310	1.46703063
311	1.4660178
312	1.464852863
313	1.463755527
314	1.46257186
315	1.461202166
316	1.459877101
317	1.458395983
318	1.45690453
319	1.455548936
320	1.454626879
321	1.453769864
322	1.452488813
323	1.451088482
324	1.449849058
325	1.448836106
326	1.447526824
327	1.446227611
328	1.445063154
329	1.443698818
330	1.442424259
331	1.441045874
332	1.439981613
333	1.438876666
334	1.437638458
335	1.436823594
336	1.435850279
337	1.434690717
338	1.433780553
339	1.432738822
340	1.431758554
341	1.430631255
342	1.429379659
343	1.428034333
344	1.426874887
345	1.425791633
346	1.42454936
347	1.423570311
348	1.422163786
349	1.421273464
350	1.419919915
351	1.418768506
352	1.417449292
353	1.41645263
354	1.415358747
355	1.414249357
356	1.413112776
357	1.412247203
358	1.410831973
359	1.409820815
360	1.408989545
361	1.408175125
362	1.407041605
363	1.405671034
364	1.404690321
365	1.403574033
366	1.402487802
367	1.401163006
368	1.400034185
369	1.398997616
370	1.397891045
371	1.396669177
372	1.39547268
373	1.394278429
374	1.393294476
375	1.392114016
376	1.391226132
377	1.390294116
378	1.389184997
379	1.387781776
380	1.386688805
381	1.385878942
382	1.385020492
383	1.383701547
384	1.382476633
385	1.381543273
386	1.380690779
387	1.379626688
388	1.378700208
389	1.377687051
390	1.376565541
391	1.375526962
392	1.374739276
393	1.373774855
394	1.372869225
395	1.371813472
396	1.370900789
397	1.369787997
398	1.368552869
399	1.367766831
400	1.366955403
401	1.365756107
402	1.364612932
403	1.363587476
404	1.362625876
405	1.361482882
406	1.360203184
407	1.359066981
408	1.357992671
409	1.357047195
410	1.355911419
411	1.355136172
412	1.354243157
413	1.353473236
414	1.352570791
415	1.351399521
416	1.350236991
417	1.349562565
418	1.348547095
419	1.347760327
420	1.346738479
421	1.345786524
422	1.344876765
423	1.343932727
424	1.342974235
425	1.341890434
426	1.340906969
427	1.340051601
428	1.339233254
429	1.338257801
430	1.337373608
431	1.336485524
432	1.335485938
433	1.334823973
434	1.333880728
435	1.332967388
436	1.331937492
437	1.330916059
438	1.330014711
439	1.329362715
440	1.328638765
441	1.328152252
442	1.327239885
443	1.32630261
444	1.325425784
445	1.324560611
446	1.323752005
447	1.322997312
448	1.322120416
449	1.321331539
450	1.320449662
451	1.319879751
452	1.319098504
453	1.318420251
454	1.317371061
455	1.316585394
456	1.315776593
457	1.314881204
458	1.313910739
459	1.312723783
460	1.311862748
461	1.311155574
462	1.310208037
463	1.309499724
464	1.308641054
465	1.30773862
466	1.307003243
467	1.306174778
468	1.305186827
469	1.304457299
470	1.303647313
471	1.302961863
472	1.301978423
473	1.301010613
474	1.300109054
475	1.299304378
476	1.298489077
477	1.297651957
478	1.296581419
479	1.295684431
480	1.294812722
481	1.293939417
482	1.293333726
483	1.292614293
484	1.291541359
485	1.290877252
486	1.290029626
487	1.289337661
488	1.2886062
489	1.287933156
490	1.286988219
491	1.286244753
492	1.285684435
493	1.284814415
494	1.284044372
495	1.283231514
496	1.282657195
497	1.281752503
498	1.281148514
499	1.280514978
500	1.279845715
501	1.279056366
502	1.278168214
503	1.277210039
504	1.276473053
505	1.275848795
506	1.27502188
507	1.274185188
508	1.273328113
509	1.272741105
510	1.272067644
511	1.271397863
512	1.270685971
513	1.270109866
514	1.269410167
