iter	Passed	Remaining
0	12	2398
1	21	2144
2	29	1946
3	39	1939
4	43	1699
5	50	1636
6	58	1604
7	65	1573
8	72	1547
9	80	1531
10	88	1512
11	95	1497
12	102	1479
13	111	1487
14	116	1440
15	123	1423
16	131	1410
17	137	1392
18	144	1377
19	151	1360
20	157	1346
21	164	1330
22	171	1317
23	177	1305
24	184	1290
25	191	1279
26	197	1266
27	204	1254
28	210	1240
29	217	1230
30	223	1219
31	229	1207
32	236	1196
33	243	1186
34	249	1177
35	256	1167
36	262	1157
37	269	1148
38	276	1141
39	283	1132
40	289	1123
41	296	1116
42	303	1106
43	309	1097
44	315	1088
45	322	1079
46	329	1071
47	335	1062
48	342	1054
49	348	1046
50	355	1038
51	362	1030
52	369	1024
53	376	1017
54	383	1012
55	391	1005
56	397	997
57	405	991
58	411	984
59	418	977
60	425	970
61	432	962
62	439	954
63	445	947
64	452	940
65	459	932
66	466	925
67	472	918
68	479	910
69	486	903
70	493	895
71	499	888
72	506	880
73	512	873
74	519	866
75	526	858
76	533	851
77	539	844
78	546	836
79	553	829
80	560	822
81	566	815
82	573	807
83	579	800
84	586	793
85	593	786
86	600	779
87	606	771
88	613	765
89	620	757
90	627	751
91	633	743
92	640	737
93	647	729
94	653	722
95	660	715
96	666	708
97	673	701
98	680	694
99	686	686
100	693	679
101	700	672
102	707	666
103	713	659
104	720	651
105	727	644
106	733	637
107	740	630
108	746	623
109	753	616
110	760	609
111	766	602
112	773	595
113	780	588
114	786	581
115	793	574
116	800	567
117	806	560
118	813	553
119	819	546
120	826	539
121	832	532
122	839	525
123	846	518
124	852	511
125	859	504
126	866	498
127	873	491
128	879	484
129	886	477
130	892	470
131	899	463
132	905	456
133	912	449
134	919	442
135	925	435
136	932	428
137	939	421
138	945	415
139	952	408
140	959	401
141	966	394
142	973	387
143	979	380
144	985	373
145	992	366
146	999	360
147	1006	353
148	1013	346
149	1020	340
150	1028	333
151	1035	327
152	1044	320
153	1052	314
154	1059	307
155	1067	301
156	1075	294
157	1083	288
158	1091	281
159	1100	275
160	1108	268
161	1117	262
162	1125	255
163	1133	248
164	1140	241
165	1147	235
166	1154	228
167	1161	221
168	1168	214
169	1175	207
170	1182	200
171	1189	193
172	1196	186
173	1202	179
174	1209	172
175	1215	165
176	1222	158
177	1229	151
178	1235	144
179	1242	138
180	1248	131
181	1254	124
182	1262	117
183	1268	110
184	1274	103
185	1281	96
186	1287	89
187	1294	82
188	1301	75
189	1307	68
190	1313	61
191	1320	55
192	1327	48
193	1334	41
194	1340	34
195	1346	27
196	1353	20
197	1360	13
198	1367	6
199	1373	0
